Batch,weight_id,weight_variable,matched_raw_column,component,family,position,unit,value_stat,orientation,v0_estimated,h_estimated,hh_estimated,min_value,p01,p05,median_value,p95,p99,max_value,n_windows,threshold_method,threshold_warning
CASTILLA,1.0,Desplazamiento Pico a Pico VIX1 — LL Motor [µm],LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm],motor,displacement_pp,ll,um,mean,cost,25.598591712,28.894192556333333,29.0783223323,25.06733179,25.25539034833333,25.598591712,27.58678280666667,28.894192556333333,29.0783223323,29.249672593333333,619,batch_percentile_p05_p95_p99,
CASTILLA,2.0,Desplazamiento Pico a Pico VIY1 — LL Motor [µm],LL MOTOR\VIY1-74448\Desplazamiento Pico a Pico [µm],motor,displacement_pp,ll,um,mean,cost,25.513904471666667,28.61814548483333,28.83030458716667,25.108602715,25.2982964022,25.513904471666667,27.50152882833333,28.61814548483333,28.83030458716667,28.88033141833333,619,batch_percentile_p05_p95_p99,
CASTILLA,3.0,Desplazamiento Pico a Pico VIX2 — LA Motor [µm],LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,um,mean,cost,31.384106042166668,34.50281114316667,34.71454974873334,30.983412886666667,31.1892563084,31.384106042166668,33.681131835,34.50281114316667,34.71454974873334,34.88123590166666,619,batch_percentile_p05_p95_p99,
CASTILLA,4.0,Desplazamiento Pico a Pico VIY2 — LA Motor [µm],LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm],motor,displacement_pp,la,um,mean,cost,31.870608171666667,34.87879947216666,35.10777994753333,31.447376085,31.669618386766665,31.870608171666667,34.009260778333335,34.87879947216666,35.10777994753333,35.34092368833333,619,batch_percentile_p05_p95_p99,
CASTILLA,5.0,Desplazamiento Pico a Pico VIX3 — LA Bomba [µm],LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,um,mean,cost,39.84492448133333,42.7707296995,43.0358674527,39.364377325,39.577450506,39.84492448133333,41.54887479,42.7707296995,43.0358674527,43.21024174833334,619,batch_percentile_p05_p95_p99,
CASTILLA,6.0,Desplazamiento Pico a Pico VIY3 — LA Bomba [µm],LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,um,mean,cost,67.288832814,79.60087324533333,80.26432081936666,65.84353915666667,66.39387222263333,67.288832814,74.27002245833334,79.60087324533333,80.26432081936666,81.15067111666667,619,batch_percentile_p05_p95_p99,
CASTILLA,7.0,Desplazamiento Pico a Pico VIX4 — LL Bomba [µm],LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,um,mean,cost,34.009371713,39.8394437185,40.51826829533334,33.25447302833333,33.568913955,34.009371713,36.19126775166667,39.8394437185,40.51826829533334,41.077462815,619,batch_percentile_p05_p95_p99,
CASTILLA,8.0,Desplazamiento Pico a Pico VIY4 — LL Bomba [µm],LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,ll,um,mean,cost,39.3249142415,42.9083287765,43.161179567766666,38.39752061333333,38.9060263269,39.3249142415,41.39942403166666,42.9083287765,43.161179567766666,43.626302375,619,batch_percentile_p05_p95_p99,
CASTILLA,9.0,Aceleración RMS — LA Motor Horizontal [g],LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,g,mean,cost,0.4716150793866666,0.6529436496200001,0.7001916710010001,0.3991639576,0.420350606899,0.4716150793866666,0.5233667867333334,0.6529436496200001,0.7001916710010001,0.7058303226833333,619,batch_percentile_p05_p95_p99,
CASTILLA,10.0,Velocidad RMS — LA Motor Horizontal [mm/s],LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,mm/s,mean,cost,1.253384576366667,1.41165680325,1.4246796460933335,1.2433831726666669,1.2473036428366666,1.253384576366667,1.3147217443333334,1.41165680325,1.4246796460933335,1.4341859421666667,619,batch_percentile_p05_p95_p99,
CASTILLA,11.0,Aceleración RMS — LA Motor Axial [g],LA MOTOR\AC LA A MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,g,mean,cost,0.2443789106283332,0.2748700963333333,0.2780693657213333,0.2364104601833333,0.239671081613,0.2443789106283332,0.2652742520166666,0.2748700963333333,0.2780693657213333,0.28234283705,619,batch_percentile_p05_p95_p99,
CASTILLA,12.0,Velocidad RMS — LA Motor Axial [mm/s],LA MOTOR\AC LA A MOTOR\Velocidad Rms [mm/s],motor,velocity_rms,la,mm/s,mean,cost,1.3730833476666666,1.487101971816667,1.4926221198000005,1.3391233168333334,1.3433896194666668,1.3730833476666666,1.395974301,1.487101971816667,1.4926221198000005,1.495758598,619,batch_percentile_p05_p95_p99,
CASTILLA,13.0,Aceleración RMS — LA Bomba Axial [g],LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,g,mean,cost,0.3836794077916666,0.3937178187333333,0.3949609100946666,0.3681793823166667,0.3690888592393333,0.3836794077916666,0.39056005895,0.3937178187333333,0.3949609100946666,0.3962969853,619,batch_percentile_p05_p95_p99,
CASTILLA,14.0,Velocidad RMS — LA Bomba Axial [mm/s],LA BOMBA\AC LA A BOMBA\Velocidad Rms [mm/s],bomba,velocity_rms,la,mm/s,mean,cost,0.6821717764083334,0.7169854791833333,0.7286503437503333,0.6726904861499999,0.676976850048,0.6821717764083334,0.7007481255666667,0.7169854791833333,0.7286503437503333,0.7485302601166667,619,batch_percentile_p05_p95_p99,
CASTILLA,15.0,Aceleración RMS — LA Bomba Horizontal [g],LA BOMBA\AC LA H BOMBA\Aceleración Rms [g],bomba,acceleration_rms,la,g,mean,cost,0.416098883005,0.5797293879916667,0.5855204609176666,0.3932426064333333,0.3982669356736666,0.416098883005,0.54082654485,0.5797293879916667,0.5855204609176666,0.5896931467000001,619,batch_percentile_p05_p95_p99,
