metric,value
n_variables_thresholded,24.0
n_batches_thresholded,3.0
n_thresholds_global_rows,24.0
n_thresholds_by_batch_rows,72.0
n_threshold_warnings_global,0.0
n_threshold_warnings_by_batch,0.0
threshold_method_global,global_percentile_p40_p75_p99
threshold_method_by_batch,batch_percentile_p40_p75_p99
condition_index_mean_thresholded_global,26.256033632429638
condition_index_median_thresholded_global,23.074923557942007
condition_index_p95_thresholded_global,44.63162043942148
condition_index_min_thresholded_global,1.9804199660576491
condition_index_max_thresholded_global,56.13194749400216
condition_index_mean_thresholded_by_batch,26.416128048451792
condition_index_median_thresholded_by_batch,25.44427310323152
condition_index_p95_thresholded_by_batch,44.860408436466585
condition_index_min_thresholded_by_batch,4.376891488850963
condition_index_max_thresholded_by_batch,60.19763067888131
note,Exploratory thresholds estimated from available historical windowed data; not normative alarm limits.
