window_id,window_start,window_end,Batch,has_near_transition,baseline_batch_used,condition_index,condition_index_available_weight,n_variables_used,n_variables_unmatched,assessment_method
0,2025-12-10 18:37:32,2025-12-10 18:38:31,RUBIALES,False,RUBIALES,23.87915914407687,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
1,2025-12-10 18:38:32,2025-12-10 18:39:31,RUBIALES,False,RUBIALES,27.217580278584705,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
2,2025-12-10 18:39:32,2025-12-10 18:40:31,RUBIALES,False,RUBIALES,23.886713794433334,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
3,2025-12-10 18:40:32,2025-12-10 18:41:31,RUBIALES,False,RUBIALES,25.65420958353704,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
4,2025-12-10 18:41:32,2025-12-10 18:42:31,RUBIALES,False,RUBIALES,23.80757107463548,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
5,2025-12-10 18:42:32,2025-12-10 18:43:31,RUBIALES,False,RUBIALES,26.21945794933878,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
6,2025-12-10 18:43:32,2025-12-10 18:44:31,RUBIALES,False,RUBIALES,25.096287417190712,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
7,2025-12-10 18:44:32,2025-12-10 18:45:31,RUBIALES,False,RUBIALES,23.44486392150478,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
8,2025-12-10 18:45:32,2025-12-10 18:46:31,RUBIALES,False,RUBIALES,22.111861234380083,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
9,2025-12-10 18:46:32,2025-12-10 18:47:31,RUBIALES,True,RUBIALES,22.73273198810803,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
10,2025-12-10 18:47:32,2025-12-10 18:48:31,CASTILLA,True,CASTILLA,49.04698771533782,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
11,2025-12-10 18:48:32,2025-12-10 18:49:31,CASTILLA,True,CASTILLA,49.44876412129801,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
12,2025-12-10 18:49:32,2025-12-10 18:50:31,CASTILLA,False,CASTILLA,52.25445162040741,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
13,2025-12-10 18:50:32,2025-12-10 18:51:31,CASTILLA,False,CASTILLA,53.182762618783165,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
14,2025-12-10 18:51:32,2025-12-10 18:52:31,CASTILLA,False,CASTILLA,55.237080611299874,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
15,2025-12-10 18:52:32,2025-12-10 18:53:31,CASTILLA,False,CASTILLA,49.776149317633845,0.9999999999999996,24,0,data_driven_batch_percentile_thresholds
