window_id,window_start,window_end,Batch,has_near_transition,condition_index,condition_index_available_weight,n_variables_used,n_variables_unmatched,assessment_method
0,2025-12-10 18:37:32,2025-12-10 18:38:31,RUBIALES,False,27.35199688933012,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
1,2025-12-10 18:38:32,2025-12-10 18:39:31,RUBIALES,False,28.743276063857937,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
2,2025-12-10 18:39:32,2025-12-10 18:40:31,RUBIALES,False,27.65029629506221,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
3,2025-12-10 18:40:32,2025-12-10 18:41:31,RUBIALES,False,28.244343730177444,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
4,2025-12-10 18:41:32,2025-12-10 18:42:31,RUBIALES,False,28.04154693448199,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
5,2025-12-10 18:42:32,2025-12-10 18:43:31,RUBIALES,False,29.16851303003518,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
6,2025-12-10 18:43:32,2025-12-10 18:44:31,RUBIALES,False,28.73674873041347,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
7,2025-12-10 18:44:32,2025-12-10 18:45:31,RUBIALES,False,27.6951039706215,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
8,2025-12-10 18:45:32,2025-12-10 18:46:31,RUBIALES,False,27.11112502162963,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
9,2025-12-10 18:46:32,2025-12-10 18:47:31,RUBIALES,True,26.77844352186989,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
10,2025-12-10 18:47:32,2025-12-10 18:48:31,CASTILLA,True,27.194336978911107,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
11,2025-12-10 18:48:32,2025-12-10 18:49:31,CASTILLA,True,26.890147764249555,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
12,2025-12-10 18:49:32,2025-12-10 18:50:31,CASTILLA,False,27.420395928463964,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
13,2025-12-10 18:50:32,2025-12-10 18:51:31,CASTILLA,False,27.866235457043874,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
14,2025-12-10 18:51:32,2025-12-10 18:52:31,CASTILLA,False,28.92559145836833,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
15,2025-12-10 18:52:32,2025-12-10 18:53:31,CASTILLA,False,27.307245260812884,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
16,2025-12-10 18:53:32,2025-12-10 18:54:31,CASTILLA,False,27.556256878164746,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
17,2025-12-10 18:54:32,2025-12-10 18:55:31,CASTILLA,False,26.86456781032008,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
18,2025-12-10 18:55:32,2025-12-10 18:56:31,CASTILLA,False,26.269210803339583,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
19,2025-12-10 18:56:32,2025-12-10 18:57:31,CASTILLA,False,26.800722344113773,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
20,2025-12-10 18:57:32,2025-12-10 18:58:31,CASTILLA,False,25.09897660709195,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
21,2025-12-10 18:58:32,2025-12-10 18:59:31,CASTILLA,False,24.731248205624645,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
22,2025-12-10 18:59:32,2025-12-10 19:00:31,CASTILLA,False,24.829221443355248,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
23,2025-12-10 19:00:32,2025-12-10 19:01:31,CASTILLA,False,25.15895655196161,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
24,2025-12-10 19:01:32,2025-12-10 19:02:31,CASTILLA,False,25.9663625390041,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
25,2025-12-10 19:02:32,2025-12-10 19:03:31,CASTILLA,False,24.33583251324237,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
26,2025-12-10 19:03:32,2025-12-10 19:04:31,CASTILLA,False,24.277650853714512,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
27,2025-12-10 19:04:32,2025-12-10 19:05:31,CASTILLA,False,24.97579839209449,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
28,2025-12-10 19:05:32,2025-12-10 19:06:31,CASTILLA,False,24.542587467937857,0.9999999999999996,24,0,data_driven_global_percentile_thresholds
