consolidated_rank,feature,raw_variable,statistic,family,component,position,unit,perm_importance_mean,shap_importance_mean_abs,consolidated_score
1,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g]__mean,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],mean,acceleration_rms,bomba,la,g,0.0027391540351602,1.0828348,0.9915966386554622
2,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g]__median,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],median,acceleration_rms,bomba,la,g,0.0,0.6431744,0.9831932773109244
3,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s]__p95,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],p95,velocity_rms,motor,la,mm/s,0.0,0.4809697,0.9789915966386554
4,LA BOMBA\AC LA A BOMBA\Velocidad Rms [mm/s]__p95,LA BOMBA\AC LA A BOMBA\Velocidad Rms [mm/s],p95,velocity_rms,bomba,la,mm/s,0.022492369266011,0.15937178,0.9747899159663864
5,LL BOMBA\AC LL H BOMBA\Aceleración Rms [g]__p95,LL BOMBA\AC LL H BOMBA\Aceleración Rms [g],p95,acceleration_rms,bomba,ll,g,0.0,0.2263286,0.9747899159663864
6,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g]__p95,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],p95,acceleration_rms,bomba,la,g,0.0,0.18725342,0.9705882352941176
7,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g]__p05,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],p05,acceleration_rms,bomba,la,g,0.0,0.16388611,0.9663865546218487
8,LL MOTOR\AC LL H MOTOR\Aceleración Rms [g]__p95,LL MOTOR\AC LL H MOTOR\Aceleración Rms [g],p95,acceleration_rms,motor,ll,g,0.0,0.14001346,0.9579831932773109
9,LA BOMBA\AC LA H BOMBA\Velocidad Rms [mm/s]__p95,LA BOMBA\AC LA H BOMBA\Velocidad Rms [mm/s],p95,velocity_rms,bomba,la,mm/s,0.0,0.13884862,0.953781512605042
10,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g]__p95,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],p95,acceleration_rms,motor,la,g,0.0,0.13205506,0.9495798319327732
11,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s]__p05,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],p05,velocity_rms,motor,la,mm/s,0.0,0.13143894,0.9453781512605042
12,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s]__mean,LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],mean,velocity_rms,motor,la,mm/s,0.0,0.11270827,0.9411764705882352
13,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm]__mean,LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],mean,displacement_pp,bomba,ll,um,0.0,0.11267162,0.9369747899159664
14,LM VARIADOR\AC LM H VARIADOR\Aceleración Rms [g]__median,LM VARIADOR\AC LM H VARIADOR\Aceleración Rms [g],median,acceleration_rms,variador,lm,g,0.0,0.086861074,0.9327731092436976
15,LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm]__iqr,LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm],iqr,displacement_pp,motor,ll,um,0.0,0.0851711,0.9285714285714286
16,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g]__p05,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],p05,acceleration_rms,motor,la,g,0.0,0.08394074,0.9243697478991596
17,LB VARIADOR\AC LB H VARIADOR\Aceleración Rms [g]__p95,LB VARIADOR\AC LB H VARIADOR\Aceleración Rms [g],p95,acceleration_rms,variador,lb,g,0.0,0.08328506,0.9201680672268908
18,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g]__median,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],median,acceleration_rms,motor,la,g,0.0,0.07901146,0.915966386554622
19,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g]__mean,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],mean,acceleration_rms,motor,la,g,0.0,0.06775482,0.9117647058823528
20,LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm]__mean,LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm],mean,displacement_pp,motor,ll,um,0.0,0.06382275,0.907563025210084
