raw_variable,importance_sum,importance_mean,n_features,share_percent
LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],4.504201680672269,0.9008403361344538,5,5.086354146896944
LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],4.445378151260504,0.8890756302521009,5,5.0199278800531415
LA MOTOR\AC LA H MOTOR\Velocidad Rms [mm/s],4.180672268907563,0.8361344537815126,5,4.721009679256027
LL BOMBA\AC LL H BOMBA\Aceleración Rms [g],4.1722689075630255,0.8344537815126051,5,4.711520212564055
LL BOMBA\VIX4-74443\Desplazamiento Pico a Pico [µm],4.042016806722689,0.8084033613445378,5,4.564433478838489
LB VARIADOR\AC LB H VARIADOR\Aceleración Rms [g],4.033613445378151,0.8067226890756303,5,4.5549440121465175
LM VARIADOR\AC LM H VARIADOR\Aceleración Rms [g],3.983193277310925,0.7966386554621849,5,4.498007211994687
LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s],3.911764705882353,0.7823529411764706,5,4.417346745112925
LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm],3.88655462184874,0.7773109243697479,5,4.38887834503701
LL BOMBA\VIY4-74444\Desplazamiento Pico a Pico [µm],3.8361344537815127,0.7672268907563026,5,4.3319415448851775
LA MOTOR\AC LA A MOTOR\Aceleración Rms [g],3.827731092436975,0.765546218487395,5,4.322452078193206
LL MOTOR\AC LL H MOTOR\Aceleración Rms [g],3.8277310924369754,0.7655462184873949,5,4.322452078193206
LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],3.6218487394957983,0.7243697478991596,5,4.089960144239894
LA MOTOR\AC LA A MOTOR\Velocidad Rms [mm/s],3.6176470588235294,0.7235294117647059,5,4.085215410893908
LA BOMBA\AC LA A BOMBA\Velocidad Rms [mm/s],3.609243697478992,0.7218487394957983,5,4.0757259442019365
LA BOMBA\VIX3-74442\Desplazamiento Pico a Pico [µm],3.5504201680672267,0.7100840336134453,5,4.009299677358133
LA MOTOR\VIY2-74446\Desplazamiento Pico a Pico [µm],3.533613445378151,0.7067226890756302,5,3.990320743974189
LA BOMBA\AC LA H BOMBA\Velocidad Rms [mm/s],3.5210084033613445,0.7042016806722688,5,3.976086543936231
LL MOTOR\VIY1-74448\Desplazamiento Pico a Pico [µm],3.466386554621849,0.6932773109243697,5,3.914405010438414
LA BOMBA\AC LA H BOMBA\Aceleración Rms [g],3.323529411764706,0.6647058823529413,5,3.753084076674892
LM VARIADOR\AC LM H VARIADOR\Velocidad Rms [mm/s],2.974789915966386,0.5949579831932773,5,3.3592712089580568
LL MOTOR\AC LL H MOTOR\Velocidad Rms [mm/s],2.9453781512605044,0.5890756302521009,5,3.3260580755361557
LA MOTOR\VIX2-74445\Desplazamiento Pico a Pico [µm],2.907563025210084,0.5815126050420167,5,3.2833554754222813
LB VARIADOR\AC LB H VARIADOR\Velocidad Rms [mm/s],2.8319327731092434,0.5663865546218487,5,3.197950275194534
