window_id,rank,raw_variable,component,family,position,condition_score,weight_normalized,weighted_score,share_of_condition_index_percent
0,1,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,100.0,0.0476190476190476,4.76190476190476,19.94167689562861
0,2,LL BOMBA\AC LL H BOMBA\Aceleración Rms [g],bomba,acceleration_rms,ll,96.14493883548629,0.0476190476190476,4.57833042073744,19.172913054072424
0,3,LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,73.35685787769806,0.050125313283208,3.67703548259138,15.398513240795822
0,4,LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s],bomba,velocity_rms,ll,77.60836022221429,0.0401002506265664,3.1121146956276395,13.03276500169224
0,5,LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm],motor,displacement_pp,ll,60.93479340426413,0.037593984962406,2.290781706927222,9.593226013971448
1,1,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,99.7494254990147,0.0476190476190476,4.749972642810223,17.451854992956864
1,2,LL BOMBA\AC LL H BOMBA\Aceleración Rms [g],bomba,acceleration_rms,ll,97.66271706333116,0.0476190476190476,4.65060557444434,17.086770854878406
1,3,LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,66.34196846774833,0.050125313283208,3.325411953270592,12.2178824099477
1,4,LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s],bomba,velocity_rms,ll,73.98619414098663,0.0401002506265664,2.9668649279593624,10.90054625573659
1,5,LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm],motor,displacement_pp,ll,59.55791974368967,0.037593984962406,2.239019539236453,8.22637250012323
2,1,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,99.92340364317296,0.0476190476190476,4.758257316341568,19.920100174894948
2,2,LL BOMBA\AC LL H BOMBA\Aceleración Rms [g],bomba,acceleration_rms,ll,96.7092350912116,0.0476190476190476,4.605201671010075,19.279343783502338
2,3,LA BOMBA\VIY3-74441\Desplazamiento Pico a Pico [µm],bomba,displacement_pp,la,66.22042983668543,0.050125313283208,3.319319791312552,13.89609227907316
2,4,LL BOMBA\AC LL H BOMBA\Velocidad Rms [mm/s],bomba,velocity_rms,ll,78.1830477396625,0.0401002506265664,3.135159809109272,13.125119830589275
2,5,LL MOTOR\VIX1-74447\Desplazamiento Pico a Pico [µm],motor,displacement_pp,ll,60.30826826413167,0.037593984962406,2.267228130230513,9.491586618996871
3,1,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],motor,acceleration_rms,la,100.0,0.0476190476190476,4.76190476190476,18.561884537501395
